Semana,Mes,Data_Inicio,Data_Fim,Temperatura,Dias_da_semana,Sabor,Volume_L
1,4,2025-04-01,2025-04-07,"15,9","3,4,5,6,7,1,2",abacaxi_com_hortela,2
1,4,2025-04-01,2025-04-07,"15,9","3,4,5,6,7,1,2",uva,10
1,4,2025-04-01,2025-04-07,"15,9","3,4,5,6,7,1,2",laranja,10
1,4,2025-04-01,2025-04-07,"15,9","3,4,5,6,7,1,2",abacaxi,6
1,4,2025-04-01,2025-04-07,"15,9","3,4,5,6,7,1,2",melancia,10
2,4,2025-04-08,2025-04-15,"17,2","3,4,5,6,7,1,2,3",maracuja,6
2,4,2025-04-08,2025-04-15,"17,2","3,4,5,6,7,1,2,3",manga,4
2,4,2025-04-08,2025-04-15,"17,2","3,4,5,6,7,1,2,3",laranja,10
2,4,2025-04-08,2025-04-15,"17,2","3,4,5,6,7,1,2,3",abacaxi,6
3,4,2025-04-16,2025-04-23,"17,5","3,4,5,6,7,1,2,3",laranja,10
3,4,2025-04-16,2025-04-23,"17,5","4,5,6,7,1,2,3,4",uva,6
3,4,2025-04-16,2025-04-23,"17,5","4,5,6,7,1,2,3,4",maracuja,4
3,4,2025-04-16,2025-04-23,"17,5","4,5,6,7,1,2,3,4",abacaxi,4
4,4,2025-04-24,2025-04-30,18,"5,6,7,1,2,3,4",abacaxi,8
4,4,2025-04-24,2025-04-30,18,"5,6,7,1,2,3,4",uva,4
4,4,2025-04-24,2025-04-30,18,"5,6,7,1,2,3,4",laranja,8
4,4,2025-04-24,2025-04-30,18,"5,6,7,1,2,3,4",maracuja,2
4,4,2025-04-24,2025-04-30,18,"5,6,7,1,2,3,4",bergamota,4
1,5,2025-05-01,2025-05-07,"19,4","5,6,7,1,2,3,4",laranja,19
1,5,2025-05-01,2025-05-07,"19,4","5,6,7,1,2,3,4",abacaxi,5
2,5,2025-05-08,2025-05-14,"17,5","5,6,7,1,2,3,4",laranja,39
2,5,2025-05-08,2025-05-14,"17,5","5,6,7,1,2,3,4",abacaxi,12
3,5,2025-05-15,2025-05-21,"18,1","5,6,7,1,2,3,4",laranja,32
3,5,2025-05-15,2025-05-21,"18,1","5,6,7,1,2,3,4",abacaxi,10
4,5,2025-05-22,2025-05-31,"15,7","5,6,7,1,2,3,4,5,6,7",laranja,50
4,5,2025-05-22,2025-05-31,"15,7","5,6,7,1,2,3,4,5,6,7",abacaxi,34
4,5,2025-05-22,2025-05-31,"15,7","5,6,7,1,2,3,4,5,6,7",bergamota,10
4,5,2025-05-22,2025-05-31,"15,7","5,6,7,1,2,3,4,5,6,7",limonada_suica,2
1,6,2025-06-01,2025-06-07,"14,5","1,2,3,4,5,6,7",laranja,42
1,6,2025-06-01,2025-06-07,"14,5","1,2,3,4,5,6,7",abacaxi,8
2,6,2025-06-08,2025-06-14,"9,7","1,2,3,4,5,6,7",laranja,42
2,6,2025-06-08,2025-06-14,"9,7","1,2,3,4,5,6,7",abacaxi,6
2,6,2025-06-08,2025-06-14,"9,7","1,2,3,4,5,6,7",bergamota,6
2,6,2025-06-08,2025-06-14,"9,7","1,2,3,4,5,6,7",morango,3
3,6,2025-06-15,2025-06-21,"13,7","1,2,3,4,5,6,7",abacaxi,4
3,6,2025-06-15,2025-06-21,"13,7","1,2,3,4,5,6,7",laranja,28
3,6,2025-06-15,2025-06-21,"13,7","1,2,3,4,5,6,7",bergamota,2
3,6,2025-06-15,2025-06-21,"13,7","1,2,3,4,5,6,7",morango,2
4,6,2025-06-22,2025-06-30,"8,8","1,2,3,4,5,6,7,1,2",abacaxi,10
